group,optimal_weight,expected_return,risk
A,0.2712662479787036,6.6019,0.2488
B,0.16776696870780095,9.0601,0.3501
F,0.12560086226540218,13.1897,0.4983
E,0.11500138481983445,12.583,0.4888
D,0.10945407551847769,11.7352,0.4696
C,0.10766065658817749,10.5502,0.4263
G,0.10324980412160359,12.6711,0.499
