expected_return,risk
7.963920689655173,0.23417443183981643
8.10012275862069,0.22958440661569335
8.236324827586207,0.22721929248420347
8.372526896551724,0.22578716198306953
8.508728965517243,0.2251714215174861
8.64493103448276,0.22537869602244573
8.781133103448276,0.2263838799018306
8.917335172413793,0.22777153569216368
9.053537241379312,0.22938652968495546
9.189739310344828,0.2312241114440627
9.325941379310347,0.23327902093926384
9.462143448275864,0.23554557031600323
9.59834551724138,0.23801771356710258
9.734547586206897,0.24068911575701463
9.870749655172414,0.24355322029571283
10.006951724137933,0.24660331301979987
10.14315379310345,0.24983258209001274
10.279355862068968,0.2532341822022859
10.415557931034485,0.2568012439265881
10.551760000000002,0.26052698366296884
