state,loan_count,default_rate,avg_interest_rate,avg_fico,share_grade_A,share_grade_B,share_grade_C,share_grade_D,share_grade_E,share_grade_F,share_grade_G,state_name,ers_unemployment_rate_2023,ers_median_household_income_2022,ers_poverty_rate_2023,default_residual_after_avg_interest,default_residual_after_avg_fico
OR,16607,0.1542,13.1142,697.6336,0.1822,0.2978,0.2793,0.1495,0.0644,0.0212,0.0057,Oregon,3.7,75638.0,12.1,-0.0376,-0.058
PA,46271,0.2207,13.3615,698.7064,0.1647,0.2861,0.2916,0.1542,0.0729,0.0244,0.006,Pennsylvania,3.4,71789.0,11.9,0.0089,0.0189
RI,5963,0.1913,13.1731,697.8637,0.1778,0.2945,0.2874,0.1419,0.0678,0.0245,0.0062,Rhode Island,3.0,80873.0,11.4,-0.0052,-0.0187
SC,16234,0.1752,13.3881,698.642,0.1719,0.2796,0.284,0.159,0.0721,0.0262,0.0072,South Carolina,3.0,64227.0,13.9,-0.0387,-0.0272
SD,2804,0.2236,13.3937,698.1216,0.1587,0.2878,0.2964,0.1576,0.071,0.0193,0.0093,South Dakota,2.0,70597.0,11.4,0.0092,0.0161
TN,20714,0.2266,13.5277,697.2619,0.1601,0.2745,0.2941,0.1605,0.078,0.0245,0.0083,Tennessee,3.3,65231.0,13.8,0.0014,0.0108
TX,112090,0.212,13.1906,699.0918,0.1779,0.2938,0.2829,0.1489,0.0664,0.0232,0.0068,Texas,3.9,72279.0,13.7,0.014,0.0139
UT,10165,0.1811,13.3433,697.9756,0.17,0.2882,0.2897,0.1496,0.0704,0.0251,0.0069,Utah,2.6,88531.0,9.0,-0.0292,-0.0278
VA,38662,0.2123,13.299,698.9179,0.1833,0.2819,0.2779,0.1478,0.0745,0.0272,0.0073,Virginia,2.9,85838.0,10.2,0.0056,0.0125
VT,2686,0.1504,12.9262,700.4179,0.1984,0.2919,0.2766,0.1396,0.0648,0.0235,0.0052,Vermont,2.0,74555.0,9.9,-0.0262,-0.0348
WA,29571,0.1685,13.3424,696.8038,0.1692,0.288,0.2904,0.1501,0.0703,0.0245,0.0075,Washington,4.1,91255.0,10.3,-0.0417,-0.0517
WI,18088,0.1996,13.0337,699.6004,0.1849,0.2986,0.2855,0.1393,0.0627,0.0231,0.0058,Wisconsin,3.0,71050.0,10.6,0.0143,0.0064
WV,4920,0.1624,13.1994,700.2928,0.1831,0.2793,0.2717,0.162,0.077,0.0224,0.0045,West Virginia,3.9,54097.0,16.4,-0.0363,-0.0241
WY,2958,0.1778,13.3078,700.1373,0.1782,0.283,0.2789,0.1572,0.074,0.0227,0.0061,Wyoming,2.9,71275.0,10.4,-0.0296,-0.0102
